Year-Quarter in line with QNAs,,"QNAS 2022: Q2 Table A, column O","QNAS 2022: Q2 Table A, column D","QNAS 2022: Q2 Supplementary Tables, Table 12, Column P","QNAS 2022: Q2 Table I, column C","Population Estimates Time Series Data, National Records of Scotland",QNA: Implied GDP deflator at market prices: SA Index,QNA: Gross Domestic Product at market prices: Current price: Seasonally adjusted £m,QNA: 0 Household final consumption expenditure: Domestic concept CP SA £m,QNA: UK (S.1): Compensation of employees (D.1) Uses: Current price: £m: SA,NOMIS Population Estimates,FRED LIOR3M,QNA: General Government: Final consumption expenditure (P3): CPSA £m,Table G1: GDP Expenditure Approach at Current Prices (onshore): Government Spending
Year,Quarter,SCT_Deflator (2018=100),SCT_Output,SCT_Consumption,SCT_Compensation_of_Employees,SCT_Working_Pop,UK_Deflator (2023=100),UK_Output,UK_Consumption,UK_Compensation_of_Employees,rUK_Working_Pop,LIBOR,UK_Government_spending,SCT_Government_spending
1998,1,65.10,19395.00,12520.00,9444.00,3281902.00,61.2685,245778.00,157147.00,111444,33910488,7.47,38474.00,4267.00
,2,65.40,19548.00,12635.00,9692.00,,61.5281,248133.00,158994.00,113808,,7.49,37534.00,4223.00
,3,65.30,19468.00,12828.00,9869.00,,62.1079,251225.00,162342.00,115934,,7.58,38112.00,4309.00
,4,65.10,19435.00,12892.00,9921.00,,62.4503,254190.00,162810.00,116605,,6.80,39186.00,4299.00
1999,1,65.50,19613.00,13074.00,10059.00,3281482.00,62.5442,256399.00,165491.00,119895,34114170,5.51,39760.00,4379.00
,2,65.50,19584.00,13298.00,10350.00,,62.7262,258184.00,167521.00,122870,,5.20,39607.00,4388.00
,3,65.90,19812.00,13283.00,10502.00,,62.5541,261803.00,168041.00,125095,,5.19,40428.00,4461.00
,4,66.30,20148.00,13458.00,10610.00,,63.0642,267764.00,169533.00,126872,,5.90,40840.00,4518.00
2000,1,66.40,20383.00,13728.00,10623.00,3278692.00,63.4157,272383.00,172926.00,128158,34340124,6.12,41969.00,4561.00
,2,66.60,20416.00,13859.00,10886.00,,63.4138,274159.00,174426.00,131240,,6.19,42758.00,4707.00
,3,67.10,20585.00,13961.00,11095.00,,63.6904,276759.00,176510.00,134096,,6.12,43583.00,4866.00
,4,67.60,20656.00,14126.00,11377.00,,63.6665,277842.00,177681.00,137642,,5.99,43903.00,5001.00
2001,1,68.30,20955.00,14230.00,11577.00,3286645.00,64.1508,282353.00,180307.00,140811,34590400,5.64,44001.00,5176.00
,2,69.80,21413.00,14376.00,11605.00,,64.8293,286384.00,180737.00,140562,,5.23,45658.00,5130.00
,3,70.00,21725.00,14607.00,11736.00,,64.9551,288260.00,183634.00,141353,,4.92,46830.00,5287.00
,4,69.70,21952.00,14700.00,11878.00,,64.8647,288326.00,182820.00,142618,,4.09,47217.00,5427.00
2002,1,70.10,22031.00,14791.00,11953.00,3295351.00,65.5109,292210.00,185349.00,143090,34841183,4.01,48163.00,5428.00
,2,70.60,22287.00,15015.00,12148.00,,65.9976,295929.00,186162.00,143854,,4.10,48587.00,5609.00
,3,70.80,22628.00,15186.00,12264.00,,66.2626,299274.00,188311.00,144903,,3.95,50052.00,5646.00
,4,71.40,22862.00,15440.00,12414.00,,66.7720,304102.00,191037.00,147031,,3.92,51597.00,5697.00
2003,1,72.40,23248.00,15458.00,12442.00,3303864.00,67.0790,307435.00,192542.00,148747,35084938,3.73,52151.00,5939.00
